LogisticRegression,SVC,LinearSVC,NuSVC,MultinomialNB,BernoulliNB
0.856815578465063,0.849942726231386,0.861397479954181,0.8396334478808706,0.8648339060710195,0.8625429553264605
0.8396334478808706,0.8224513172966781,0.8442153493699885,0.8201603665521191,0.8510882016036655,0.8487972508591065
0.8797250859106529,0.8648339060710195,0.8831615120274914,0.8579610538373424,0.8808705612829324,0.8774341351660939
0.8717067583046965,0.8671248568155785,0.8808705612829324,0.843069873997709,0.870561282932417,0.872852233676976
0.847651775486827,0.8327605956471936,0.856815578465063,0.8293241695303551,0.8648339060710195,0.861397479954181
0.8350515463917526,0.8201603665521191,0.8487972508591065,0.8167239404352806,0.8487972508591065,0.8487972508591065
0.854524627720504,0.847651775486827,0.8579610538373424,0.8304696449026346,0.8648339060710195,0.86368843069874
0.8625429553264605,0.8591065292096219,0.870561282932417,0.8465063001145475,0.86368843069874,0.8591065292096219
0.8625429553264605,0.8602520045819015,0.8694158075601375,0.8487972508591065,0.872852233676976,0.8694158075601375
0.8591065292096219,0.8591065292096219,0.8648339060710195,0.852233676975945,0.8785796105383734,0.8751431844215349
0.8602520045819015,0.8533791523482245,0.8762886597938144,0.8419243986254296,0.865979381443299,0.8671248568155785
0.8911798396334479,0.8923253150057274,0.8980526918671249,0.8774341351660939,0.8957617411225659,0.8923253150057274
0.868270332187858,0.8591065292096219,0.8762886597938144,0.8487972508591065,0.8602520045819015,0.8579610538373424
0.8591065292096219,0.845360824742268,0.8648339060710195,0.8396334478808706,0.8625429553264605,0.861397479954181
0.8808705612829324,0.865979381443299,0.8888888888888888,0.8625429553264605,0.8877434135166093,0.8900343642611683
0.8762886597938144,0.8671248568155785,0.8808705612829324,0.8625429553264605,0.8808705612829324,0.8774341351660939
0.8751431844215349,0.865979381443299,0.8888888888888888,0.86368843069874,0.8797250859106529,0.8762886597938144
0.8694158075601375,0.86368843069874,0.870561282932417,0.861397479954181,0.8694158075601375,0.868270332187858
0.8739977090492554,0.8751431844215349,0.8877434135166093,0.868270332187858,0.8820160366552119,0.8808705612829324
0.8487972508591065,0.8396334478808706,0.847651775486827,0.8350515463917526,0.849942726231386,0.8487972508591065
0.8465063001145475,0.8384879725085911,0.8533791523482245,0.8293241695303551,0.8602520045819015,0.861397479954181
0.868270332187858,0.8579610538373424,0.8739977090492554,0.856815578465063,0.8739977090492554,0.8774341351660939
0.8602520045819015,0.8625429553264605,0.8774341351660939,0.852233676975945,0.8785796105383734,0.8751431844215349
0.861397479954181,0.856815578465063,0.8648339060710195,0.845360824742268,0.865979381443299,0.8671248568155785
0.8785796105383734,0.8694158075601375,0.8865979381443299,0.856815578465063,0.8946162657502864,0.8946162657502864
0.856815578465063,0.868270332187858,0.861397479954181,0.856815578465063,0.86368843069874,0.8625429553264605
0.8888888888888888,0.8820160366552119,0.8911798396334479,0.8751431844215349,0.8854524627720504,0.8843069873997709
0.86368843069874,0.854524627720504,0.8717067583046965,0.8419243986254296,0.865979381443299,0.86368843069874
0.870561282932417,0.872852233676976,0.8888888888888888,0.8694158075601375,0.8774341351660939,0.8808705612829324
0.868270332187858,0.856815578465063,0.8717067583046965,0.847651775486827,0.8865979381443299,0.8751431844215349
0.8774341351660939,0.8671248568155785,0.8865979381443299,0.8602520045819015,0.8831615120274914,0.8831615120274914
0.872852233676976,0.8591065292096219,0.8739977090492554,0.852233676975945,0.8762886597938144,0.8751431844215349
0.868270332187858,0.8602520045819015,0.870561282932417,0.852233676975945,0.8751431844215349,0.8751431844215349
